"Time","T0429","","T0429",""
00:00:00 01/11/2023,        77.4,    140,         0.8,      1
00:00:00 01/12/2023,        45.4,    140,        -0.3,      1
00:00:00 01/01/2024,        58.0,    140,        -2.5,      1
00:00:00 01/02/2024,        68.4,    140,         1.1,      1
00:00:00 01/03/2024,       103.0,    140,         1.3,      1
00:00:00 01/04/2024,        35.2,      1,         4.0,      1
00:00:00 01/05/2024,       187.4,      1,         7.1,      1
00:00:00 01/06/2024,       158.4,      1,        12.2,      1
00:00:00 01/07/2024,       170.0,      1,        15.2,      1
00:00:00 01/08/2024,       101.6,      1,        16.0,      1
00:00:00 01/09/2024,       247.4,      1,         9.6,      1
00:00:00 01/10/2024,       227.6,      1,         7.3,      1
00:00:00 01/11/2024,         1.2,      1,         1.5,      1
00:00:00 01/12/2024,        14.4,    140,        -1.8,      1
00:00:00 01/01/2025,        56.0,    140,        -2.9,      1
00:00:00 01/02/2025,        16.4,      1,        -2.2,      1
00:00:00 01/03/2025,        63.4,      1,         0.6,      1
00:00:00 01/04/2025,        87.6,      1,         4.7,      1
00:00:00 01/05/2025,       144.2,      1,         7.3,      1
00:00:00 01/06/2025,        74.8,      1,        14.9,      1
00:00:00 01/07/2025,       155.2,      1,        13.2,      1
00:00:00 01/08/2025,       137.4,      1,        13.7,      1
00:00:00 01/09/2025,       121.6,      1,        10.2,      1
00:00:00 01/10/2025,"",    151,         5.0,    145
00:00:00 01/11/2025,        55.6,    145,         0.6,    145
00:00:00 01/12/2025,         7.6,    145,        -0.6,    145
00:00:00 01/01/2026,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255

